,employment_status,industry,current_role,years_of_experience,genai_org_approval,genai_use,genai_tools_used,genai_frequency_use,genai_importance,skill_integration,skill_learning,simple_tasks_skills,complex_tasks_skills,skillfullness,skills_support,skill_sharing,better_worker,relatedness,tasks_description,emotional_energy,dependancy,reliance,decision_making_confidence,quality_improvement,peers_approval,manager_support,general_disapproval,age_group,gender,highest_level_of_education,country_of_residence
63,Yes,Education / Academia,Teacer,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,Search about information & how to write perfect emails ,Normally ,3.0,3.0,4.0,4.0,4.0,4.0,4.0,36-45,Female,Bachelor’s degree,Qatar
64,Yes,Government / Public sector,BI consultant ,8–15 years,Microsoft Copilot,Yes,"ChatGPT (OpenAI), Claude (Anthropic)",A few times a week,2.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,3.0,"Code correction
Demonstrate and breakdown ideas",I am ok with that,3.0,3.0,3.0,3.0,2.0,4.0,3.0,36-45,Male,Master’s degree,Saudi Arabia
65,Yes,IT / Tech,Business developer ,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),A few times a month,2.0,3.0,3.0,1.0,3.0,5.0,3.0,5.0,3.0,4.0,"Data analysis 
Goals breakdown  ",Confidante ,3.0,3.0,3.0,5.0,3.0,4.0,5.0,26-35,Male,Bachelor’s degree,Saudi Arabia
66,Yes,Consulting,Quality Assurance Ofiicer,8–15 years,"No, up to now. I'm using it personally",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,2.0,3.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,"Audit Finfing Report
Strategic Planning","Creative, Initiative",3.0,3.0,4.0,4.0,3.0,3.0,4.0,36-45,Male,Bachelor’s degree,Saudi Arabia
67,Yes,IT / Tech,Application support team leader ,8–15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a month,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Formal emails
Sql commands
Writing Reports",Confident ,5.0,5.0,5.0,5.0,3.0,5.0,5.0,36-45,Female,Master’s degree,Saudi Arabia
68,Yes,IT / Tech,Data Engineer,8–15 years,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Everything in my life and all my daily task I use AI ,Professional ,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Male,Bachelor’s degree,Saudi Arabia
69,Yes,Healthcare,Pharmacist,8–15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a month,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,Searching for new drugs use and interactions that i don't know,Neutral ,3.0,3.0,3.0,4.0,3.0,3.0,4.0,26-35,Male,Bachelor’s degree,Saudi Arabia
70,Yes,Consulting,Site Electrical Engineer,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),A few times a week,1.0,3.0,3.0,5.0,3.0,1.0,1.0,3.0,5.0,5.0,"1. Writing and rephrasing emails and reports.

2. Preparing technical documents like proposals and specifications.

3. Analyzing data and writing simple automation scripts.
","It feels efficient and empowering. Using Gen AI helps get things done faster, with more clarity, and improves the quality of communication and documentation. It’s a smart tool, not a shortcut",1.0,3.0,2.0,5.0,3.0,1.0,3.0,26-35,Male,Bachelor’s degree,Saudi Arabia
71,Yes,IT / Tech,Solution Architect ,More than 15 years,"ChatGPT (OpenAI), Microsoft Copilot",Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a week,4.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,1.0,To confirm network design or upgrade current design ,Normal because companies know that AI will help the company ,1.0,2.0,3.0,4.0,5.0,5.0,5.0,36-45,Male,Master’s degree,Saudi Arabia
72,Yes,IT / Tech,CTO IN GLASFASER FIRMA,8–15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,5.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,Anything related to my work need AI ,Satisfaction ,3.0,4.0,4.0,4.0,5.0,4.0,3.0,26-35,Male,Master’s degree,Sudan
73,Yes,"Education / Academia, Consulting",Water Engineer,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,"Brainstorming, Analysis, validation ",Updated and tech-skilled,4.0,3.0,3.0,4.0,4.0,5.0,5.0,26-35,Female,Master’s degree,Sudan
74,Yes,"IT / Tech, Consulting",Senior IT ,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot, Stable diffusion, comfy Ui , gpt4all, ooga boga webui",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot",Daily,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,"Idea storming, problem solving, create manual for dummies ","I feel its like using a calculator in math exam, some may consider it cheating while others normalise it",3.0,3.0,3.0,3.0,3.0,2.0,3.0,26-35,Male,Bachelor’s degree,Sudan
75,Yes,"IT / Tech, Non ",Program coordinator ,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Daily,2.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0,.,.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,18-25,Male,Bachelor’s degree,Sudan
76,Yes,IT / Tech,Software engineer,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",Daily,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,Build a JWT based authentication service that integrates with LDAP. Write a feature description document to submit to QA for testing. Build custom UI components with native js. ,"I don’t have to report that, I feel good about it, it demonstrates I have a new skill that improves my work quality and productivity. ",4.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Prefer not to say,Bachelor’s degree,Sudan
77,Yes,Healthcare,Dentist ,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1.0,,5.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,"Dryg interaction, check noramal average, diagnosis ",I don't report that,5.0,4.0,5.0,5.0,3.0,,,26-35,Female,Master’s degree,Sudan
78,Yes,Research,Senior Researcher,8–15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot, Consensus",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot, Consensus",Daily,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,"For summarising research documents, and for creating reports",I am completely okay with everyone knowing that,3.0,3.0,4.0,5.0,3.0,3.0,3.0,26-35,Male,Doctorate (PhD or equivalent),Turkey
79,Yes,Export Sales Development ,Export Sales Specialist ,1–3 years,We do not have any officially approved AI tools but ChatGPT is widely used by employees within our organisation.,Yes,ChatGPT (OpenAI),Daily,1.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Preparing sales contracts and promotional emails,"I will be happy to disclose this fact, nothing to be ashamed of, in fact it proves that I employ all tools at hand effectively to get my job done.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Male,Master’s degree,Turkey
80,Yes,Finance / Banking,Tech lead ,8–15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney",Daily,3.0,4.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,"* Drafting and Refining Communications: 
I use Gen AI to help draft and improve emails, reports, and formal communication. It assists with grammar, tone, and clarity, helping me save time while ensuring professional quality.
* Data Analysis and Summarization: 
I use Gen AI to summarize large documents or datasets, making it easier to extract key insights quickly—especially useful for reviewing reports, policies, or research.
* Idea Generation and Problem Solving: 
I often use Gen AI to brainstorm solutions, generate ideas for process improvements, or explore different approaches to a challenge. It’s a helpful starting point for innovation and critical thinking.
",Using Gen AI for work-related tasks makes me feel empowered and efficient. It allows me to handle repetitive or time-consuming tasks more quickly.,2.0,5.0,4.0,5.0,5.0,5.0,4.0,46-55,Male,Bachelor’s degree,Uganda
81,Yes,Education / Academia,English Language Teacher ,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Deepseek ",A few times a week,2.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,"Prepare lessons and homeworks, measuring result of the students",Fine by me,3.0,4.0,3.0,5.0,5.0,5.0,3.0,26-35,Male,Bachelor’s degree,United Arab Emirates
82,Yes,IT / Tech,Senior Software Engineer ,8–15 years,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",Yes,"ChatGPT (OpenAI), Claude (Anthropic)",Daily,3.0,3.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,"Find solutions for my work, fix bug of code، ",It's normal to do that ,3.0,4.0,4.0,4.0,4.0,5.0,5.0,26-35,Male,Master’s degree,United Arab Emirates
83,Yes,IT / Tech,Business Analyst ,4–7 years,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Manus",Rarely,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,"Enhance email, help in the plan,ideas",Good,4.0,4.0,4.0,4.0,4.0,4.0,4.0,26-35,Male,Bachelor’s degree,United Arab Emirates
84,Yes,IT / Tech,Software engineer,8–15 years,"Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Automation testing ,I can do this ,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Female,Master’s degree,United Arab Emirates
85,Yes,IT / Tech,DevOps Lead,4–7 years,Microsoft Copilot,Yes,Microsoft Copilot,A few times a week,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,1.0,"Drafting scripts, rewriting emails","Neutral, AI won't create engineers out of nothing",1.0,1.0,1.0,3.0,5.0,5.0,5.0,26-35,Male,Bachelor’s degree,United Arab Emirates
86,Yes,IT / Tech,Retail Solution Specialist,More than 15 years,"Microsoft Copilot, GitHub Copilot",Yes,"Microsoft Copilot, GitHub Copilot",A few times a month,1.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,"Fleet Solution, Telematics",Get the repetitive work done by AI,4.0,4.0,4.0,4.0,4.0,4.0,4.0,36-45,Male,Master’s degree,United Arab Emirates
87,Yes,IT / Tech,Devops Engineer,8–15 years,Microsoft Copilot,Yes,Microsoft Copilot,Daily,3.0,2.0,4.0,5.0,3.0,3.0,4.0,1.0,4.0,3.0,scipst,good,3.0,3.0,3.0,4.0,4.0,4.0,4.0,26-35,Male,Bachelor’s degree,United Arab Emirates
88,Yes,IT / Tech,Senior data analyst ,8–15 years,"Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot",A few times a week,3.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,"Simple scripts, boilerplate generation, formatting email writing ",Neutral ,4.0,3.0,1.0,4.0,4.0,4.0,5.0,26-35,Male,Bachelor’s degree,United Arab Emirates
89,Yes,IT / Tech,Software Engineer,8–15 years,Google Gemini (Formerly Bard),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",A few times a month,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,1.0,"generated evaluation reports from daily tasks
emails communications",I have reported that normally,1.0,1.0,1.0,3.0,5.0,5.0,5.0,26-35,Male,Bachelor’s degree,United Arab Emirates
90,Yes,IT / Tech,Software engineer ,8–15 years,"ChatGPT (OpenAI), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Daily,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,"My answers are biased because I work with generative AI tools every day to build complex products. I focus on integrating different tools into my routine as smoothly and efficiently as possible. I’m an AI engineer, someone whose job is to figure out how to use AI to solve real problems and make the world better. And by the way, I wish you all the best.","Btw I just used it to phrase the answer above lol. It’s a tool while it’s my own responsibility to use it the best way possible. The comparison is between me and the AI, vs either me without AI or AI without me. I think both are less than our team. I love us!",4.0,4.0,4.0,5.0,5.0,5.0,5.0,26-35,Male,Master’s degree,United States
91,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Yes,"Finance / Banking, Government / Public sector",Development Officer,1–3 years,,No,,,,,,,,,,,,,,,,,,,,,,,,,
93,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Yes,Manufacturing,Senior Engineer,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Own AI bot",No,,,,,,,,,,,,,,,,,,,,,,,,,
95,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Yes,IT / Tech,software engg dev,Less than 1 year,ChatGPT (OpenAI),No,,,,,,,,,,,,,,,,,,,,,,,,,
98,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Yes,IT / Tech,,Less than 1 year,"ChatGPT (OpenAI), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Daily,3.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,1.0,2.0,Coding,Pretty good,1.0,1.0,2.0,4.0,5.0,5.0,4.0,18-25,Male,Bachelor’s degree,India
100,Yes,IT / Tech,,8–15 years,,No,,,,,,,,,,,,,,,,,,,,,,,,,
101,Yes,IT / Tech,IP design engineer ,8–15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",No,,,,,,,,,,,,,,,,,,,,,,,,,
102,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Yes,Healthcare,Internship physician,Less than 1 year,,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Grok",A few times a week,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,It helps me diagnose the patient and choose the appropriate medication and dosage for him.,"I feel a bit of a contradiction, a positive feeling that I'm keeping up with modern technology and adept at using it as a reality and a necessity. Sometimes I feel like I'm training my mind to be dependent and lazy.",2.0,3.0,4.0,3.0,3.0,2.0,3.0,26-35,Male,Bachelor’s degree,Egypt
104,Yes,IT / Tech,Marketing and automation specialist,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Daily,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,"Market Research, Client Communication and marketing ",I'm the founder of my company so I totally agree,4.0,3.0,5.0,5.0,5.0,5.0,4.0,26-35,Male,Bachelor’s degree,Oman
105,Yes,"Finance / Banking, ",محاماه,4–7 years,ChatGPT (OpenAI),Yes,Google Gemini (formerly Bard),Daily,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,Yes ,Yes ,3.0,3.0,3.0,3.0,3.0,2.0,2.0,26-35,Male,Bachelor’s degree,Saudi Arabia
106,Yes,Automotives,Parts advisor ,8–15 years,Google Gemini (Formerly Bard),Yes,Google Gemini (formerly Bard),A few times a month,3.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,2.0,Emails,I don't know ,2.0,1.0,1.0,1.0,2.0,3.0,3.0,26-35,Male,Bachelor’s degree,Saudi Arabia
107,Yes,IT / Tech,CM Trainer ,1–3 years,"Google Gemini (Formerly Bard), Company private AI",Yes,"Google Gemini (formerly Bard), Company private AI",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Training outlines, Training materials ",It’s recommended ,5.0,5.0,,5.0,5.0,5.0,3.0,36-45,Male,Bachelor’s degree,Poland
108,Yes,Healthcare,Stellvertretende Pflegedienst Leitung ,8–15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Ich habe dass benutzt in meine facharbeit 
Ich habe benutzt in meine neue Projekt 
يساعدني في حياتي اليوميه العمليه وًالعلميه و المهنيه",احس بفخر لما استمعله ,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Female,Bachelor’s degree,Germany
109,Yes,Government / Public sector,Mechanical Engineer ,8–15 years,Microsoft Copilot,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a week,2.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,"Research, document preparations, benchmarking ",I feel not interested in showing that I used Gen AI ,3.0,1.0,2.0,3.0,3.0,1.0,5.0,26-35,Male,Master’s degree,Qatar
110,Yes,IT / Tech,Test developer - production,8–15 years,"Google Gemini (Formerly Bard), Claude (Anthropic)",Yes,"Google Gemini (formerly Bard), Claude (Anthropic)",Daily,3.0,2.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,"- development,  clause is integrated into our repository so we can personalize it and help with coding and code reviews. 
- we have a lot of processes, and documentation that we need to go through. Gemini is very helpful when answer questions related to company documents or devices/tools user guide.",We are asked to use AI in our daily activities. Management pushing toward using AI to improve efficiency. ,1.0,4.0,2.0,4.0,5.0,5.0,5.0,36-45,Male,Master’s degree,Canada
111,Yes,Consulting,BD,More than 15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,"Marketing Research, Proposal related to spesific topic and revision of Financial plans","I did modification not copy and past, rephrasing or adding from my own knowledge ",1.0,1.0,2.0,3.0,1.0,1.0,3.0,46-55,Female,Master’s degree,United Arab Emirates
112,Yes,IT / Tech,Developer,1–3 years,Microsoft Copilot,Yes,Microsoft Copilot,Daily,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,"Drafting emails, coding",Yes,3.0,4.0,4.0,5.0,5.0,4.0,5.0,26-35,Female,Bachelor’s degree,India
113,Yes,Government / Public sector,Lab assistant,1–3 years,ChatGPT (OpenAI),No,,,,,,,,,,,,,,,,,,,,,,,,,
114,Yes,Education / Academia,Student,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,4.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,1.0,coding and idea collection,"A bit shameful, but I still know that I use it only if I can't find an immediate answer per google and that I am able to question the AI's answers",3.0,4.0,1.0,3.0,4.0,2.0,4.0,18-25,Female,High school or equivalent,Germany
115,Yes,Healthcare,Student assistant ,1–3 years,I don't know for sure,No,,,,,,,,,,,,,,,,,,,,,,,,,
116,Yes,Education / Academia,SHK,Less than 1 year,,Yes,ChatGPT (OpenAI),A few times a week,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,1.0,"Translation, writing of abstracts for a study","Not so good. Since AI ist not necessary for my work, the thought of my supervisor finding out stresses me a bit",2.0,3.0,3.0,4.0,3.0,3.0,4.0,18-25,Female,Bachelor’s degree,Germany
117,Yes,Oil and Gas,Section Head Production Operation,More than 15 years,,No,,,,,,,,,,,,,,,,,,,,,,,,,
